(leto M mesec),(procentualno večja od 2015(101=1%večja))
2000M01	58,33
2000M02	58,85
2000M03	58,80
2000M04	58,77
2000M05	58,74
2000M06	58,13
2000M07	58,39
2000M08	58,50
2000M09	59,21
2000M10	59,28
2000M11	59,68
2000M12	60,04
2001M01	61,09
2001M02	61,86
2001M03	62,69
2001M04	63,39
2001M05	64,67
2001M06	64,34
2001M07	64,97
2001M08	64,84
2001M09	65,79
2001M10	65,81
2001M11	65,52
2001M12	66,26
2002M01	68,51
2002M02	69,30
2002M03	69,22
2002M04	69,59
2002M05	69,58
2002M06	68,77
2002M07	68,51
2002M08	68,46
2002M09	69,23
2002M10	69,07
2002M11	69,39
2002M12	69,54
2003M01	70,39
2003M02	71,54
2003M03	72,58
2003M04	72,55
2003M05	72,67
2003M06	72,07
2003M07	72,56
2003M08	72,39
2003M09	72,44
2003M10	72,26
2003M11	72,46
2003M12	72,28
2004M01	73,73
2004M02	73,25
2004M03	74,15
2004M04	73,55
2004M05	73,84
2004M06	73,49
2004M07	72,89
2004M08	71,89
2004M09	71,08
2004M10	70,40
2004M11	71,09
2004M12	71,40
2005M01	72,01
2005M02	72,89
2005M03	73,94
2005M04	72,20
2005M05	72,65
2005M06	71,36
2005M07	70,96
2005M08	70,79
2005M09	71,01
2005M10	70,87
2005M11	71,42
2005M12	71,90
2006M01	72,98
2006M02	72,96
2006M03	72,90
2006M04	72,64
2006M05	73,83
2006M06	73,28
2006M07	73,06
2006M08	73,77
2006M09	73,85
2006M10	73,33
2006M11	74,37
2006M12	74,66
2007M01	76,16
2007M02	75,43
2007M03	76,00
2007M04	77,48
2007M05	78,77
2007M06	78,66
2007M07	78,85
2007M08	79,02
2007M09	81,32
2007M10	83,11
2007M11	83,14
2007M12	84,43
2008M01	86,68
2008M02	86,35
2008M03	86,23
2008M04	86,96
2008M05	88,23
2008M06	87,72
2008M07	88,46
2008M08	86,95
2008M09	87,18
2008M10	87,50
2008M11	87,82
2008M12	87,69
2009M01	89,61
2009M02	88,94
2009M03	88,69
2009M04	88,59
2009M05	88,68
2009M06	87,68
2009M07	87,25
2009M08	86,58
2009M09	86,80
2009M10	86,34
2009M11	87,06
2009M12	86,67
2010M01	87,29
2010M02	87,69
2010M03	87,85
2010M04	88,34
2010M05	88,84
2010M06	88,94
2010M07	89,39
2010M08	88,86
2010M09	88,49
2010M10	87,74
2010M11	88,51
2010M12	88,34
2011M01	90,48
2011M02	91,24
2011M03	91,23
2011M04	91,97
2011M05	94,35
2011M06	93,00
2011M07	92,02
2011M08	92,18
2011M09	92,36
2011M10	92,59
2011M11	92,70
2011M12	92,67
2012M01	93,99
2012M02	94,81
2012M03	94,88
2012M04	96,31
2012M05	98,41
2012M06	96,42
2012M07	95,71
2012M08	95,57
2012M09	95,99
2012M10	96,55
2012M11	96,64
2012M12	96,97
2013M01	98,86
2013M02	98,66
2013M03	98,53
2013M04	99,41
2013M05	101,44
2013M06	100,64
2013M07	99,87
2013M08	99,80
2013M09	99,50
2013M10	98,99
2013M11	98,86
2013M12	99,14
2014M01	100,54
2014M02	99,69
2014M03	99,03
2014M04	99,47
2014M05	100,60
2014M06	99,76
2014M07	98,92
2014M08	98,24
2014M09	99,05
2014M10	98,42
2014M11	98,46
2014M12	97,90
2015M01	99,20
2015M02	99,34
2015M03	99,69
2015M04	100,20
2015M05	101,80
2015M06	100,79
2015M07	100,34
2015M08	100,00
2015M09	100,20
2015M10	99,52
2015M11	99,47
2015M12	99,44
2016M01	99,65
2016M02	99,83
2016M03	100,08
2016M04	99,99
2016M05	101,66
2016M06	101,88
2016M07	101,64
2016M08	101,41
2016M09	101,31
2016M10	101,66
2016M11	100,80
2016M12	101,11
2017M01	102,47
2017M02	103,45
2017M03	102,45
2017M04	101,77
2017M05	104,32
2017M06	103,19
2017M07	103,15
2017M08	102,78
2017M09	103,38
2017M10	103,39
2017M11	103,54
2017M12	104,07
2018M01	105,45
2018M02	105,93
2018M03	106,16
2018M04	105,50
2018M05	107,85
2018M06	106,62
2018M07	105,69
2018M08	105,64
2018M09	105,93
2018M10	106,13
2018M11	105,52
2018M12	104,65
2019M01	106,26
2019M02	106,40
2019M03	106,22
2019M04	106,03
2019M05	108,58
2019M06	108,91
2019M07	108,79
2019M08	108,70
2019M09	107,70
2019M10	107,74
2019M11	108,02
2019M12	108,06
2020M01	109,91
2020M02	110,68
2020M03	111,15
2020M04	111,43
2020M05	114,10
2020M06	112,34
2020M07	112,21
2020M08	112,56
2020M09	112,13
2020M10	111,36
2020M11	109,84
2020M12	109,15
2021M01	109,97
2021M02	110,43
2021M03	110,40
2021M04	110,97
2021M05	111,28
2021M06	111,35
2021M07	110,94
2021M08	110,95
2021M09	111,72
2021M10	111,73
2021M11	111,09
2021M12	113,38
2022M01	115,08
2022M02	117,42
2022M03	117,99
2022M04	121,19
2022M05	123,35
2022M06	125,28
2022M07	125,54
2022M08	126,29
2022M09	127,85
2022M10	130,99
2022M11	132,18
2022M12	134,48
2023M01	137,28
2023M02	138,89
2023M03	140,43
2023M04	140,28
2023M05	141,69
2023M06	140,77
2023M07	139,48
2023M08	139,42
2023M09	139,55
2023M10	140,58
2023M11	140,40
2023M12	140,65
2024M01	141,71
2024M02	141,67
2024M03	141,75
2024M04	140,31
2024M05	141,36
2024M06	141,45
2024M07	140,92
2024M08	141,44
2024M09	141,64
2024M10	142,54
2024M11	143,69
2024M12	144,35
2025M01	144,98
2025M02	145,69
2025M03	146,74
2025M04	148,55
